X,Y,OBJECTID,ABCDMisc,ADSPermissionState,CalculatedAcres,ContainmentDateTime,ControlDateTime,CreatedOnDateTime,DailyAcres,DiscoveryAcres,DispatchCenterID,FinalFireReportApprovedByTitle,FinalFireReportApprovedByUnit,FinalFireReportApprovedDate,FireBehaviorGeneral,FireBehaviorGeneral1,FireBehaviorGeneral2,FireBehaviorGeneral3,FireCause,FireCauseGeneral,FireCauseSpecific,FireCode,FireDepartmentID,FireDiscoveryDateTime,FireMgmtComplexity,FireOutDateTime,FireStrategyConfinePercent,FireStrategyFullSuppPercent,FireStrategyMonitorPercent,FireStrategyPointZonePercent,FSJobCode,FSOverrideCode,GACC,ICS209ReportDateTime,ICS209ReportForTimePeriodFrom,ICS209ReportForTimePeriodTo,ICS209ReportStatus,IncidentManagementOrganization,IncidentName,IncidentShortDescription,IncidentTypeCategory,IncidentTypeKind,InitialLatitude,InitialLongitude,InitialResponseAcres,InitialResponseDateTime,IrwinID,IsFireCauseInvestigated,IsFireCodeRequested,IsFSAssisted,IsMultiJurisdictional,IsQuarantined,IsReimbursable,IsTrespass,IsUnifiedCommand,IsValid,LocalIncidentIdentifier,ModifiedOnDateTime,PercentContained,PercentPerimeterToBeContained,POOCity,POOCounty,POODispatchCenterID,POOFips,POOJurisdictionalAgency,POOJurisdictionalUnit,POOJurisdictionalUnitParentUnit,POOLandownerCategory,POOLandownerKind,POOLegalDescPrincipalMeridian,POOLegalDescQtr,POOLegalDescQtrQtr,POOLegalDescRange,POOLegalDescSection,POOLegalDescTownship,POOPredictiveServiceAreaID,POOProtectingAgency,POOProtectingUnit,POOState,PredominantFuelGroup,PredominantFuelModel,PrimaryFuelModel,SecondaryFuelModel,TotalIncidentPersonnel,UniqueFireIdentifier,WFDSSDecisionStatus,CreatedBySystem,ModifiedBySystem,CreatedOn,ModifiedOn,IsDispatchComplete,OrganizationalAssessment,StrategicDecisionPublishDate,GlobalID,ModifiedOnDateTime_dt,CreatedOnDateTime_dt
-119.5305,37.62889,185181,,DEFAULT,19.9171,,,1598292971907,21,1,CAYPCC,,,,Minimal,Smoldering,Creeping,,Natural,Lightning,,NG7E,,2020/08/24 18:11:00,Type 5 Incident,,0,0,100,0,,,OSCC,2020/10/08 12:59:59,2020/10/01 12:59:59,2020/10/08 12:59:59,U,Type 5 IC,Horse,15 miles South East of Yosmite Valley,WF,FI,37.61684,-119.5431,,,{AFE589A1-6784-4B61-8E8E-133738807BBE},,0,0,0,0,0,0,0,1,000089,1602193435300,50,0,Yosemite,Mariposa,CAYPCC,06043,NPS,CAYNP,,NPS,Federal,,,,,,,SC02,NPS,CAYNP,US-CA,Timber,TL1,Timber (Litter and Understory),,,2020-CAYNP-000089,Approved Decision,wildcad,ics209,,,,Type 4 Incident,2020/09/13 01:14:03,{14EAB871-7B5F-456D-8C84-60E0F7D4B78C},2020/10/08 21:43:55,2020/08/24 18:16:11
-118.4967,36.25513,185183,,ICS209,,,,1598293578517,167388,1,CACCCC,,,,Active,Flanking,Backing,Spotting,Unknown,,,,,2020/08/24 18:25:36,Type 2 Incident,,0,100,0,0,,,OSCC,2020/10/12 12:30:00,2020/10/12 00:00:00,2020/10/12 12:30:00,U,Type 2 Team,SQF COMPLEX,"25 miles north of Kernville, CA",CX,FI,36.25513,-118.4967,,,{A1F6ECF3-51C6-44FE-9435-64E9221116F2},,0,0,0,0,0,0,0,1,002622,1602505866380,70,100,"Springville, CA",Tulare,CACCCC,06107,FS,CASQF,,,,,,,,,,SC03,FS,CASQF,US-CA,,,Timber (Litter and Understory),Chaparral (6 feet),822,2020-CASQF-002622,No Decision,wildcad,ics209,,,,,,{966C7557-3D7B-4BA9-9C32-F93D378AF1C3},2020/10/12 12:31:06,2020/08/24 18:26:18
-115.4374,45.24778,185571,,DEFAULT,14539.0509,,,1598404425817,14486,0.5,IDPAC,,,,Minimal,Smoldering,Creeping,Backing,Natural,Lightning,,NH7C,,2020/08/26 00:43:00,Type 4 Incident,,0,0,0,100,P4,0412,GBCC,2020/10/08 22:44:59,2020/10/01 23:15:00,2020/10/08 22:44:59,U,Type 4 IC,Porphyry,"20 miles north of Yellow Pine, Idaho",WF,FI,45.26511,-115.4751,,2020/08/26 00:59:59,{07A2F787-CF35-46AB-92FB-EEA413392BE3},0,0,0,0,0,0,0,0,1,000495,1602452537050,0,0,,Idaho,IDPAC,16049,FS,IDPAF,,USFS,Federal,,,,,,,GB01,FS,IDPAF,US-ID,Timber,TL3,Timber (Grass and Understory),Short Grass (1 foot),15,2020-IDPAF-000495,Approved Decision,wildcad,wildcad,,,,Type 4 Incident,2020/09/28 22:27:24,{B7F7E9DB-5B7B-4BAE-8443-BFF2FD25301A},2020/10/11 21:42:17,2020/08/26 01:13:45
-110.4523,40.64009,185626,,ICS209,1215.1062,,,1598449934807,1274,0.3,UTUBC,,,,Minimal,Smoldering,Isolated Torching,Creeping,Natural,,,NJ2X,,2020/08/25 18:24:00,Type 2 Incident,,100,0,0,0,04,,GBCC,2020/10/11 20:45:00,2020/10/10 23:00:00,2020/10/11 20:45:00,U,Type 2 Team,CENTER CREEK TRAIL ,"17 miles north Mountain Home, UT.",WF,FI,40.63543,-110.4469,0.25,,{A7AA0A75-490E-4F6E-AE55-E340A48BE138},,0,1,0,0,0,0,0,1,100353,1602460364873,0,0,,Duchesne,UTUBC,49013,FS,UTASF,,USFS,Federal,,,,,,,GB29,FS,UTASF,US-UT,,,Timber (Litter and Understory),Timber (Grass and Understory),6,2020-UTASF-100353,Approved Decision,wildcad,ics209,,,,Type 3 Incident,2020/09/13 23:48:59,{70BB3616-37C7-4D55-BE5B-CDE12BC67D41},2020/10/11 23:52:44,2020/08/26 13:52:14
-113.1647,48.14017,185687,,ICS209,3333.1135,,,1598466053800,4351,3,MTKIC,,,,Minimal,Smoldering,Smoldering,Smoldering,Natural,,,NJY1,,2020/08/26 16:56:00,Type 5 Incident,,0,0,0,100,P1,0110,NRCC,2020/10/08 21:00:00,2020/10/02 12:00:00,2020/10/08 21:00:00,F,Type 5 IC,Drumming,"23 miles SE of Essex, MT",WF,FI,48.14017,-113.1647,3,,{B5EC2F0E-3CAA-47F4-9E55-3B83EEBF4CC5},,0,0,0,0,0,0,0,1,000641,1602193929587,1,0,,Flathead,MTKIC,30029,FS,MTFNF,,USFS,Federal,,,,,,,NR07,FS,MTFNF,US-MT,,,Timber (Litter and Understory),,1,2020-MTFNF-000641,Approved Decision,wildcad,ics209,,,,Type 4 Incident,2020/08/28 23:04:58,{9AA7E4AC-60F7-4236-A93D-75B1DACD730B},2020/10/08 21:52:09,2020/08/26 18:20:53
-115.476,44.78566,185769,,DEFAULT,19630.5722,,,1598482434347,19631,0.3,IDBDC,,,,Minimal,Smoldering,Single Tree Torching,Creeping,Natural,Lightning,,NH0G,,2020/08/26 21:39:00,Type 4 Incident,,0,50,50,0,P4,0402,GBCC,2020/10/08 17:29:59,2020/10/03 00:00:00,2020/10/08 17:29:59,U,Type 4 IC,BUCK,"30 MILES NE CASCADE, ID",WF,FI,44.76804,-115.5122,0.25,2020/08/26 21:43:00,{AEBBE6F4-C09D-428E-98C7-56A95F41F5D1},,0,1,0,0,0,0,0,1,000714,1602257444407,40,50,,Valley,IDBDC,16085,FS,IDBOF,,USFS,Federal,,,,,,,GB04,FS,IDBOF,US-ID,Timber,TU5,Timber (Grass and Understory),,54,2020-IDBOF-000714,Approved Decision,wildcad,wfdss,,,,Type 3 Incident,2020/09/18 15:37:10,{67ABA6B6-C9C6-40D4-88C4-96C86EF48ABD},2020/10/09 15:30:44,2020/08/26 22:53:54
-115.0653,46.3866,185944,EKT5,ICS209,31.1405,,,1598564348773,610,0.3,IDGVC,,,,Minimal,Smoldering,Smoldering,Backing,Natural,,,,,2020/08/27 20:53:33,Type 4 Incident,,50,0,0,50,P1,0117,NRCC,2020/10/08 14:00:00,2020/10/01 12:59:59,2020/10/08 14:00:00,U,Type 4 IC,Sponge,20 West Of Powell Ranger Station,WF,FI,46.47079,-115.0721,,,{5472F013-0297-4846-BAF6-C2238B271836},,0,1,0,0,0,0,0,1,000628,1602175222077,0,0,,Idaho,IDGVC,16049,FS,IDNCF,,USFS,Federal,,,,,,,NR06,FS,IDNCF,US-ID,,,Timber (Litter and Understory),,,2020-IDNCF-000628,No Decision,wildcad,ics209,,,,,,{8C7AF269-67E5-436A-AFE7-7650F015B778},2020/10/08 16:40:22,2020/08/27 21:39:08
-119.4443,37.87609,185959,,DEFAULT,117.999,,,1598566567440,161,0.1,CAYPCC,,,,Minimal,Smoldering,Smoldering,Smoldering,Unknown,Lightning,,NH09,,2020/08/27 22:12:00,Type 3 Incident,,50,0,50,0,,,OSCC,2020/10/08 21:59:59,2020/10/01 23:00:00,2020/10/08 21:59:59,U,Type 3 Team,North Whizz Dome,"1 mile West of Tioga Rd, North of Polly Dome",WF,FI,37.87609,-119.4443,,,{AD464E91-199F-40E0-BD3D-DCDC4E1D4E2A},,0,0,0,0,0,0,0,1,000092,1602348623573,0,0,Yosemite,Tuolumne,CAYPCC,06109,NPS,CAYNP,,NPS,Federal,,,,,,,SC02,NPS,CAYNP,US-CA,Timber,TL4,Timber (Grass and Understory),,0,2020-CAYNP-000092,Approved Decision,wildcad,wildcad,,,,Type 3 Incident,2020/09/12 18:56:16,{B69E3E21-7FF3-4E43-99DC-44D08B99293B},2020/10/10 16:50:23,2020/08/27 22:16:07
-114.4428,46.15137,186028,EKS4,DEFAULT,42.6214,,,1598578564060,50,0.1,MTBRC,,,,Minimal,Smoldering,Creeping,Smoldering,Natural,Lightning,,,,2020/08/28 00:11:24,Type 4 Incident,,50,0,50,0,P1,0103,NRCC,2020/10/08 21:59:59,2020/10/08 21:45:00,2020/10/08 21:59:59,U,Type 4 IC,12 Mile,3.5 mile from twin lakes on road 429 (Lost Horse Rd),WF,FI,46.14801,-114.4366,3,2020/08/28 00:30:00,{ABE8BC44-D23F-48A7-B2CB-477C8D3F43B2},,0,0,0,0,0,0,0,1,020179,1602194927807,0,0,Darby,Ravalli,MTBRC,30081,FS,MTBRF,,USFS,Federal,,,,,,,NR06,FS,MTBRF,US-MT,Timber,TL3,Timber (Litter and Understory),Short Grass (1 foot),1,2020-MTBRF-020179,Approved Decision,wildcad,ics209,,,,Type 3 Incident,2020/09/01 17:24:15,{FB937F74-61B5-47A4-AABB-F76F243FA08A},2020/10/08 22:08:47,2020/08/28 01:36:04
-112.2325,46.09939,186292,,ICS209,1975.799,,,1598735291193,4400,0.3,MTDDC,,,,Minimal,Creeping,Smoldering,Creeping,Unknown,,,NH76,,2020/08/29 18:46:59,Type 5 Incident,,50,0,20,30,,0102,NRCC,2020/10/08 21:45:00,2020/10/08 12:45:00,2020/10/08 21:45:00,U,Type 4 IC,State Creek,Approximately 16 miles Northeast of Whitehall.,WF,FI,46.107,-112.2339,2354,,{AF24A95B-DD32-4CA5-AD05-C5482F80D333},,0,1,0,0,0,0,0,1,006645,1602194320090,50,51,,Jefferson,MTDDC,30043,FS,MTBDF,,USFS,Federal,,,,,,,NR09,FS,MTBDF,US-MT,,,Timber (Litter and Understory),Medium Logging Slash,2,2020-MTBDF-006645,Approved Decision,wildcad,ics209,,,,Type 4 Incident,2020/09/06 21:57:53,{69175D36-AB82-45AE-BB00-398381D75806},2020/10/08 21:58:40,2020/08/29 21:08:11
